;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Status;Prefixo;Placa;Garagem / Local;Endereço;Bairro;Cidade;Cep ;Fabricante;Modelo;Chassi;"Ano
Fabric./Model";Motor;RPM min;RPM max;Limite de opacidade
OK;221030;GHV2E56;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;11-180;9535V6TB7NR022535;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
OK;221031;FGL1C31;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K824XNR030012;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221034;GJW8G27;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8241NR029928;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221035;FYH3D92;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8242NR031106;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221036;GIV7A04;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8244NR029891;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221037;FKB5I06;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8244NR029910;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221038;GIK6C31;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8245NR029396;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221039;GGC3I73;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8245NR029415;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221040;GDY7H85;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8246NR029794;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221041;FXE7E17;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8246NR030234;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221042;FMY3H34;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8248NR030395;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221043;GHK3H57;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8249NR029837;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221044;FCI1G05;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K824XNR029913;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221045;FET6C76;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K824XNR030317;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221046;DVJ1G73;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8240NR033873;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221047;DID6C01;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8240NR033887;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221048;GBB3I62;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536K8243NR031034;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;221049;GIU3C63;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536K8243NR033852;2021/2022;Cummins ISB 6.7;700;2500;1,5 m⁻¹
